"Agency","Fiscal_Year","Overpayment_Amount_Identified_For_Recapture_($M)","Overpayment_Amount_Recovered_($M)","Recovery_Rate"
"CFTC","2022","0.0000000000","0.0000000000",""
"CFTC","2023","0.0000000000","0.0000000000",""
"CFTC","2024","0.0000000000","0.0000000000",""
"CNCS","2021","0.1850000000","0.0000000000","0.000000"
"CNCS","2022","0.3500000000","0.0000000000","0.000000"
"CNCS","2023","0.8500000000","0.2200000000","0.258823"
"CNCS","2024","2.0400000000","0.8100000000","0.397058"
"CPSC","2021","0.0000000000","0.0000000000",""
"CPSC","2022","0.0000000000","0.0000000000",""
"CPSC","2024","0.0000000000","0.0000000000",""
"CSOSA","2022","0.0000000000","0.0000000000",""
"CSOSA","2023","0.0000000000","0.0000000000",""
"CSOSA","2024","0.0000000000","0.0000000000",""
"DFC","2024","0.0000000000","0.0000000000",""
"DHS","2009","0.3000000000","0.3000000000","1.000000"
"DHS","2010","0.8000000000","0.6000000000","0.750000"
"DHS","2011","4.2180000000","0.1180000000","0.027975"
"DHS","2012","0.0100000000","0.4800000000","48.000000"
"DHS","2013","3.7340000000","3.6610000000","0.980450"
"DHS","2014","5.7580000000","5.5960000000","0.971865"
"DHS","2015","4.7820000000","4.1690000000","0.871811"
"DHS","2016","3.9300000000","3.5900000000","0.913486"
"DHS","2017","30.3200000000","29.7200000000","0.980211"
"DHS","2018","8.7500000000","8.7500000000","1.000000"
"DHS","2019","8.5467111000","4.6899957400","0.548749"
"DHS","2020","72.1750597100","64.6153416800","0.895259"
"DHS","2021","79.0104851000","37.1115145300","0.469703"
"DHS","2022","496.3600000000","144.2200000000","0.290555"
"DHS","2023","205.0460146200","7.9233430000","0.038641"
"DHS","2024","75.7723000000","25.3849300000","0.335015"
"DNFSB","2022","0.0000000000","0.0000000000",""
"DNFSB","2023","0.0000000000","0.0000000000",""
"DNFSB","2024","0.0000000000","0.0000000000",""
"DOC","2009","0.0000000000","0.0000000000",""
"DOC","2010","0.0000000000","0.0000000000",""
"DOC","2011","0.0000000000","0.0000000000",""
"DOC","2012","0.0000000000","0.0000000000",""
"DOC","2013","9.2120000000","4.9970000000","0.542445"
"DOC","2014","9.4450000000","7.2480000000","0.767390"
"DOC","2015","32.2720000000","6.8930000000","0.213591"
"DOC","2016","4.9280000000","5.4170000000","1.099229"
"DOC","2017","2.2170000000","2.1260000000","0.958954"
"DOC","2018","8.6550000000","3.9940000000","0.461467"
"DOC","2019","4.2820000000","7.9200000000","1.849603"
"DOC","2020","12.0822376000","7.0461961600","0.583186"
"DOC","2021","5.1060000000","3.0920000000","0.605562"
"DOC","2022","2.8000000000","2.6000000000","0.928571"
"DOC","2023","22.5000000000","18.8800000000","0.839111"
"DOC","2024","33.6000000000","31.5000000000","0.937500"
"DOD","2009","47.1000000000","41.1000000000","0.872611"
"DOD","2010","343.7000000000","298.5000000000","0.868490"
"DOD","2011","408.3000000000","377.2000000000","0.923831"
"DOD","2012","134.6000000000","123.0000000000","0.913819"
"DOD","2013","531.0000000000","491.7400000000","0.926064"
"DOD","2014","519.7000000000","473.6000000000","0.911295"
"DOD","2015","457.9400000000","952.8300000000","2.080687"
"DOD","2016","443.2100000000","718.5800000000","1.621308"
"DOD","2017","478.6453167977","590.3995273400","1.233480"
"DOD","2018","417.2400000000","386.1900000000","0.925582"
"DOD","2019","465.6842839680","1216.2595631400","2.611769"
"DOD","2020","856.0393020300","1000.0794869200","1.168264"
"DOD","2021","1362.5600000000","1287.0800000000","0.944604"
"DOD","2022","1483.6900000000","1412.9700000000","0.952335"
"DOD","2023","1735.6600000000","1711.0900000000","0.985844"
"DOD","2024","1827.4200000000","1684.0000000000","0.921517"
"DOE","2009","10.9000000000","10.8000000000","0.990826"
"DOE","2010","11.0000000000","11.0000000000","1.000000"
"DOE","2011","11.5000000000","10.4000000000","0.904348"
"DOE","2012","14.0800000000","11.9900000000","0.851563"
"DOE","2013","21.2940000000","19.4470000000","0.913262"
"DOE","2014","19.7000000000","18.9000000000","0.959391"
"DOE","2015","20.8700000000","20.3100000000","0.973167"
"DOE","2016","31.4356260000","29.1608450000","0.927637"
"DOE","2017","29.8087780000","27.7797430000","0.931932"
"DOE","2018","124.3450000000","104.1200000000","0.837348"
"DOE","2019","47.9000000000","40.7190000000","0.850084"
"DOE","2020","54.4264000000","42.7600000000","0.785648"
"DOE","2021","81.2800000000","77.4200000000","0.952509"
"DOE","2022","52.3900000000","47.1600000000","0.900171"
"DOE","2023","55.4900000000","48.9700000000","0.882501"
"DOE","2024","56.2100000000","42.8200000000","0.761786"
"DOI","2009","0.0000000000","0.0000000000",""
"DOI","2010","0.0000000000","0.0000000000",""
"DOI","2011","0.0000000000","0.0000000000",""
"DOI","2012","0.0000000000","0.0000000000",""
"DOI","2013","0.0000000000","0.0000000000",""
"DOI","2014","0.0000000000","0.0000000000",""
"DOI","2015","4.6700000000","0.2130000000","0.045610"
"DOI","2016","0.3920000000","0.0150000000","0.038265"
"DOI","2017","4.8385434200","3.7380046100","0.772547"
"DOI","2018","13.6900000000","7.9400000000","0.579985"
"DOI","2019","10.5300000000","8.4400000000","0.801519"
"DOI","2020","14.2155809800","6.8482968500","0.481746"
"DOI","2021","0.0000000000","0.0000000000",""
"DOI","2022","4.4100000000","6.1700000000","1.399092"
"DOI","2023","4.4900000000","5.2300000000","1.164810"
"DOI","2024","9.7700000000","5.5600000000","0.569089"
"DOJ","2009","7.2000000000","6.5000000000","0.902778"
"DOJ","2010","3.6000000000","4.1000000000","1.138889"
"DOJ","2011","12.6000000000","9.3000000000","0.738095"
"DOJ","2012","4.9800000000","5.6900000000","1.142570"
"DOJ","2013","21.9810000000","18.1230000000","0.824485"
"DOJ","2014","9.6800000000","5.4230000000","0.560227"
"DOJ","2015","22.3477922800","15.9762068310","0.714890"
"DOJ","2016","16.1540000000","13.5260000000","0.837316"
"DOJ","2017","11.9347409600","10.9808931900","0.920078"
"DOJ","2018","11.7393588700","10.1855304500","0.867639"
"DOJ","2019","11.2300000000","13.9600000000","1.243099"
"DOJ","2020","11.1200000000","8.6600000000","0.778777"
"DOJ","2021","5.2900000000","6.3300000000","1.196597"
"DOJ","2022","13.8900000000","7.2400000000","0.521238"
"DOJ","2023","9.1000000000","9.8300000000","1.080219"
"DOJ","2024","10.5300000000","10.0100000000","0.950617"
"DOL","2009","0.0000000000","0.0000000000",""
"DOL","2010","5.9000000000","5.6000000000","0.949153"
"DOL","2011","0.0000000000","0.0000000000",""
"DOL","2012","0.0000000000","0.0000000000",""
"DOL","2013","2579.3940924000","1456.1795739200","0.564543"
"DOL","2014","2179.4800000000","1448.9300000000","0.664805"
"DOL","2015","1600.7100000000","1143.1200000000","0.714133"
"DOL","2016","1239.0300000000","976.1200000000","0.787810"
"DOL","2017","937.4600000000","1153.8200000000","1.230794"
"DOL","2018","1037.5000000000","1135.8400000000","1.094786"
"DOL","2019","","",""
"DOL","2020","935.3800000000","902.6900000000","0.965052"
"DOL","2021","16248.6400000000","1929.7300000000","0.118762"
"DOL","2022","4621.7112360000","1110.7812360000","0.240339"
"DOL","2023","2295.0800000000","997.3400000000","0.434555"
"DOL","2024","1553.0966292000","785.6066292000","0.505832"
"DOT","2009","1.1000000000","0.5000000000","0.454545"
"DOT","2010","1.0000000000","0.9000000000","0.900000"
"DOT","2011","0.2664030000","0.1529800000","0.574243"
"DOT","2012","0.5368400000","0.3950860000","0.735947"
"DOT","2013","1.4700180000","1.2344370000","0.839743"
"DOT","2014","17.2115020000","16.1195390000","0.936556"
"DOT","2015","11.8082526500","6.2478264300","0.529107"
"DOT","2016","42.4993316500","4.7403178900","0.111539"
"DOT","2017","12.6512284700","13.7003118600","1.082923"
"DOT","2018","42.8587014400","28.9538813000","0.675566"
"DOT","2019","16.2209688200","4.9050619400","0.302390"
"DOT","2020","2.0742088400","1.9952042100","0.961911"
"DOT","2021","29.9620000000","28.2070000000","0.941425"
"DOT","2022","7.8154661000","7.6946616000","0.984542"
"DOT","2023","11.0816883000","11.0162946000","0.994098"
"DOT","2024","8.6326658100","8.6243386100","0.999035"
"EAC","2021","0.0000000000","0.0000000000",""
"EAC","2022","0.0000000000","0.0000000000",""
"EAC","2023","0.0000000000","0.0000000000",""
"ED","2009","0.0000000000","0.0000000000",""
"ED","2010","0.0000000000","0.0000000000",""
"ED","2011","0.0000000000","0.0000000000",""
"ED","2012","0.0000000000","0.0000000000",""
"ED","2013","80.8000000000","20.9000000000","0.258663"
"ED","2014","74.4000000000","33.8000000000","0.454301"
"ED","2015","121.5900000000","14.6900000000","0.120816"
"ED","2016","118.7100000000","20.3500000000","0.171426"
"ED","2017","93.8950000000","42.4620000000","0.452229"
"ED","2018","2.9420691300","2.9771567500","1.011926"
"ED","2019","220.4775526900","58.7047325600","0.266262"
"ED","2020","461.1895567400","277.0569256100","0.600744"
"ED","2021","840.8021000000","799.7502300000","0.951175"
"ED","2022","459.9100000000","357.7000000000","0.777760"
"ED","2023","237.5900000000","215.2800000000","0.906098"
"ED","2024","427.7400000000","329.0900000000","0.769369"
"EEOC","2022","0.0000000000","0.0000000000",""
"EEOC","2023","0.0010000000","0.0000000000","0.000000"
"EEOC","2024","0.0000000000","0.0000000000",""
"EPA","2009","0.0000000000","0.0000000000",""
"EPA","2010","0.0000000000","0.0000000000",""
"EPA","2011","0.0000000000","0.0000000000",""
"EPA","2012","0.9200000000","0.8900000000","0.967391"
"EPA","2013","38.3646610000","31.6826670000","0.825829"
"EPA","2014","7.7158770000","7.1245180000","0.923358"
"EPA","2015","16.1472000000","14.7630000000","0.914276"
"EPA","2016","7.3400000000","5.9150000000","0.805858"
"EPA","2017","18.2040000000","14.9862000000","0.823237"
"EPA","2018","12.4850000000","13.6440000000","1.092831"
"EPA","2019","10.9490000000","12.0840000000","1.103662"
"EPA","2020","11.3380000000","10.0060000000","0.882519"
"EPA","2021","3.1638730000","2.7338730000","0.864090"
"EPA","2022","6.3500000000","4.7100000000","0.741732"
"EPA","2023","3.7620000000","3.5560000000","0.945241"
"EPA","2024","7.8560000000","5.5670000000","0.708630"
"EXIM","2022","0.0000000000","0.0000000000",""
"EXIM","2023","0.0000000000","0.0000000000",""
"EXIM","2024","0.0000000000","0.0000000000",""
"FCA","2022","0.0538550000","0.0356390000","0.661758"
"FCA","2023","0.0240630000","0.0239730000","0.996259"
"FCA","2024","0.0524300000","0.0418540000","0.798283"
"FCC","2009","0.0000000000","0.0000000000",""
"FCC","2010","0.0000000000","0.0000000000",""
"FCC","2011","0.0000000000","0.0000000000",""
"FCC","2012","0.0000000000","0.0000000000",""
"FCC","2013","32.8640000000","3.0870000000","0.093933"
"FCC","2014","70.3620000000","19.2540000000","0.273642"
"FCC","2015","52.0500000000","39.9500000000","0.767531"
"FCC","2016","59.7914000000","14.9750000000","0.250454"
"FCC","2017","48.8700000000","11.2000000000","0.229179"
"FCC","2018","57.4850069500","15.4016360400","0.267924"
"FCC","2019","63.9171860000","14.7635686600","0.230980"
"FCC","2020","238.8620784300","182.0005815600","0.761948"
"FCC","2021","58.9830000000","36.2300000000","0.614244"
"FCC","2022","94.5330000000","58.2990000000","0.616705"
"FCC","2023","147.3400000000","85.0700000000","0.577372"
"FCC","2024","326.1400000000","66.3600000000","0.203470"
"FEC","2022","0.0000000000","0.0000000000",""
"FEC","2023","0.0000000000","0.0000000000",""
"FEC","2024","0.0000000000","0.0000000000",""
"FERC","2024","0.0000000000","0.0000000000",""
"FLRA","2023","0.0000000000","0.0000000000",""
"FLRA","2024","0.0000000000","0.0000000000",""
"FMC","2009","","",""
"FMC","2010","","",""
"FMC","2011","","",""
"FMC","2012","","",""
"FMC","2013","","",""
"FMC","2014","","",""
"FMC","2015","","",""
"FMC","2016","","",""
"FMC","2017","","",""
"FMC","2018","","",""
"FMC","2019","","",""
"FMC","2020","0.0016000000","0.0000000000","0.000000"
"FMC","2021","0.0000340000","0.0000340000","1.000000"
"FMC","2022","0.0000000000","0.0000000000",""
"FMC","2023","0.0000000000","0.0000000000",""
"FMC","2024","0.0000000000","0.0000000000",""
"FTC","2024","0.0000000000","0.0000000000",""
"GCRC","2022","0.0138425700","0.0138256900","0.998780"
"GCRC","2023","0.0005191600","0.0003191600","0.614762"
"GCRC","2024","0.0774200000","0.0443700000","0.573107"
"GSA","2009","23.1000000000","9.1000000000","0.393939"
"GSA","2010","25.9000000000","16.2000000000","0.625483"
"GSA","2011","13.6000000000","11.8000000000","0.867647"
"GSA","2012","14.6044230000","3.7385180000","0.255985"
"GSA","2013","39.9762160000","34.8790360000","0.872495"
"GSA","2014","69.3560000000","48.8530000000","0.704380"
"GSA","2015","72.3100000000","49.1500000000","0.679712"
"GSA","2016","57.2100000000","46.4600000000","0.812096"
"GSA","2017","40.5200000000","38.7000000000","0.955084"
"GSA","2018","34.7900000000","36.7573000000","1.056548"
"GSA","2019","69.8030207900","66.9889784100","0.959686"
"GSA","2020","27.2400000000","27.7400000000","1.018355"
"GSA","2021","31.5600510000","28.7118360000","0.909752"
"GSA","2022","70.7100000000","46.8200000000","0.662141"
"GSA","2023","31.1400000000","26.9100000000","0.864161"
"GSA","2024","26.1500000000","23.0200000000","0.880305"
"HHS","2009","0.3000000000","15.2000000000","50.666667"
"HHS","2010","0.0000000000","75.4000000000",""
"HHS","2011","0.0000000000","0.0000000000",""
"HHS","2012","2634.0000000000","2291.0000000000","0.869780"
"HHS","2013","18513.9000000000","16332.9000000000","0.882197"
"HHS","2014","15281.4500000000","13392.7090000000","0.876403"
"HHS","2015","15943.5900000000","12828.9000000000","0.804643"
"HHS","2016","15664.8606000000","13295.8800000000","0.848771"
"HHS","2017","14973.7000000000","11764.7700000000","0.785696"
"HHS","2018","14018.4600000000","11699.1600000000","0.834554"
"HHS","2019","14115.2800000000","12126.6800000000","0.859117"
"HHS","2020","14800.5518417900","12624.5808253200","0.852980"
"HHS","2021","13708.0100000000","11328.5700000000","0.826419"
"HHS","2022","19212.1800000000","12919.8400000000","0.672481"
"HHS","2023","15167.9600000000","15810.2200000000","1.042343"
"HHS","2024","16084.1300000000","12843.7900000000","0.798538"
"HUD","2009","0.0000000000","0.0000000000",""
"HUD","2010","0.0000000000","0.0000000000",""
"HUD","2011","0.0000000000","0.0000000000",""
"HUD","2012","0.0000000000","0.0000000000",""
"HUD","2013","985.0332610000","30.1244410000","0.030582"
"HUD","2014","19.6000000000","0.1690000000","0.008622"
"HUD","2015","1344.3384060000","512.4425680000","0.381186"
"HUD","2016","2689.9700000000","885.7100000000","0.329264"
"HUD","2017","1559.3763850000","936.3681390000","0.600476"
"HUD","2018","376.3061109500","166.6648696200","0.442897"
"HUD","2019","276.0126606100","200.0725393900","0.724867"
"HUD","2020","1027.8750032700","389.0569232700","0.378506"
"HUD","2021","23.8033333000","33.3813964800","1.402383"
"HUD","2022","45.0200000000","26.5500000000","0.589737"
